symbol,company,industry_category_id,industry_category_name,industry_sub_category_id,industry_sub_category_name,industry_type_id,industry_type_name,list_date
SZ300456,赛微电子,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,2015-05-14
SZ300457,赢合科技,C,制造业,CG,专用、通用及交通运输设备,35.0,专用设备制造业,2015-05-14
SZ300458,全志科技,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,2015-05-15
SZ300459,汤姆猫,I,信息传输、软件和信息技术服务业,,,64.0,互联网和相关服务,2015-05-15
SZ300460,惠伦晶体,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,2015-05-15
SZ300461,田中精机,C,制造业,CG,专用、通用及交通运输设备,35.0,专用设备制造业,2015-05-19
SZ300462,ST华铭,C,制造业,CG,专用、通用及交通运输设备,35.0,专用设备制造业,2015-05-27
SZ300463,迈克生物,C,制造业,CE,石油、化学、生物医药,27.0,医药制造业,2015-05-28
SZ300464,星徽股份,F,批发和零售业,,,52.0,零售业,2015-06-10
SZ300465,高伟达,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,2015-05-28
SZ300466,赛摩智能,C,制造业,CI,仪器、仪表,40.0,仪器仪表制造业,2015-05-28
SZ300467,迅游科技,I,信息传输、软件和信息技术服务业,,,64.0,互联网和相关服务,2015-05-27
SZ300468,四方精创,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,2015-05-27
SZ300469,信息发展,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,2015-06-11
SZ300470,中密控股,C,制造业,CG,专用、通用及交通运输设备,34.0,通用设备制造业,2015-06-12
SZ300471,厚普股份,C,制造业,CG,专用、通用及交通运输设备,35.0,专用设备制造业,2015-06-11
SZ300472,*ST新元,C,制造业,CG,专用、通用及交通运输设备,35.0,专用设备制造业,2015-06-11
SZ300473,德尔股份,C,制造业,CG,专用、通用及交通运输设备,36.0,汽车制造业,2015-06-12
SZ300474,景嘉微,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,2016-03-31
SZ300475,香农芯创,F,批发和零售业,,,51.0,批发业,2015-06-10
SZ300476,胜宏科技,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,2015-06-11
SZ300477,ST合纵,C,制造业,CH,电气、电子及通讯,38.0,电气机械和器材制造业,2015-06-10
SZ300478,杭州高新,C,制造业,CE,石油、化学、生物医药,29.0,橡胶和塑料制品业,2015-06-10
SZ300479,神思电子,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,2015-06-12
SZ300480,光力科技,C,制造业,CG,专用、通用及交通运输设备,35.0,专用设备制造业,2015-07-02
SZ300481,濮阳惠成,C,制造业,CE,石油、化学、生物医药,26.0,化学原料和化学制品制造业,2015-06-30
SZ300482,万孚生物,C,制造业,CE,石油、化学、生物医药,27.0,医药制造业,2015-06-30
SZ300483,首华燃气,B,采矿业,,,7.0,石油和天然气开采业,2015-06-30
SZ300484,蓝海华腾,C,制造业,CH,电气、电子及通讯,38.0,电气机械和器材制造业,2016-03-22
SZ300485,赛升药业,C,制造业,CE,石油、化学、生物医药,27.0,医药制造业,2015-06-26
SZ300486,东杰智能,C,制造业,CG,专用、通用及交通运输设备,34.0,通用设备制造业,2015-06-30
SZ300487,蓝晓科技,C,制造业,CE,石油、化学、生物医药,26.0,化学原料和化学制品制造业,2015-07-02
SZ300488,恒锋工具,C,制造业,CF,金属、非金属,33.0,金属制品业,2015-07-01
SZ300489,光智科技,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,2015-07-01
SZ300490,华自科技,C,制造业,CH,电气、电子及通讯,38.0,电气机械和器材制造业,2015-12-31
SZ300491,通合科技,C,制造业,CH,电气、电子及通讯,38.0,电气机械和器材制造业,2015-12-31
SZ300492,华图山鼎,P,教育,,,83.0,教育,2015-12-23
SZ300493,润欣科技,F,批发和零售业,,,51.0,批发业,2015-12-10
SZ300494,盛天网络,I,信息传输、软件和信息技术服务业,,,64.0,互联网和相关服务,2015-12-31
SZ300496,中科创达,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,2015-12-10
SZ300497,富祥药业,C,制造业,CE,石油、化学、生物医药,27.0,医药制造业,2015-12-22
SZ300498,温氏股份,A,农、林、牧、渔业,,,3.0,畜牧业,2015-11-02
SZ300499,高澜股份,C,制造业,CH,电气、电子及通讯,38.0,电气机械和器材制造业,2016-02-02
SZ300500,启迪设计,M,科学研究和技术服务业,,,74.0,专业技术服务业,2016-02-04
SZ300501,海顺新材,C,制造业,CE,石油、化学、生物医药,27.0,医药制造业,2016-02-04
SZ300502,新易盛,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,2016-03-03
SZ300503,昊志机电,C,制造业,CG,专用、通用及交通运输设备,34.0,通用设备制造业,2016-03-09
SZ300504,天邑股份,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,2018-03-30
SZ300505,川金诺,C,制造业,CE,石油、化学、生物医药,26.0,化学原料和化学制品制造业,2016-03-15
SZ300506,ST名家汇,E,建筑业,,,50.0,建筑装饰、装修和其他建筑业,2016-03-24
SZ300507,苏奥传感,C,制造业,CG,专用、通用及交通运输设备,36.0,汽车制造业,2016-04-29
