symbol,REPORT_DATE,quarterly_financial_score_x,industry_type_name,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,NETPROFIT,NETPROFIT_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,BASIC_EPS,roe,roa,gross_margin,profit_margin,debt_to_asset,current_ratio,quick_ratio,debt_to_equity,asset_turnover,inventory_turnover,receivables_turnover,dt_pred,rf_pred,svr_pred,latest_financial_score,quarterly_financial_score_y
SH603456,2025-09-30,,医药制造业,12486965468.33,-3.5916096590000013,2158039030.6,0.4568023730000021,2140614521.24,5.197997611200002,2.4099999999999997,0.2491998851074333,0.1975684212449344,0.3662259378275991,0.1728233361478667,0.0299886441527616,3.1556650721914323,2.1998671089571316,0.036427106018598,1.143181387702734,4.508730924236772,11.52590530933612,1.0,2.37,2.7590208930895614,2.043006964363187,
SH603520,2025-09-30,4.0,医药制造业,5733188819.8,24.7359936676,82136957.15,179.5113806878,70165777.61,495.03605504960007,0.19,0.0310906548922366,0.0138090133287026,0.2079755947950088,0.0143265745698683,0.3813616727380458,0.8600665299420243,0.4126732880644369,0.8558108976133794,0.9638740413040394,4.113689178583795,14.372678124889587,4.0,3.84,3.2172762132123074,3.685758737737436,4.0
SH603538,2025-09-30,,医药制造业,3019684717.02,36.5289528495,245130867.31,259.3390417827,192181048.33,131.4659813634,1.04,0.1018095748170515,0.0521589203863515,0.3238130444243738,0.0811776361712057,0.2948733388876002,1.2630819968025733,0.7356296214559895,0.578765493049758,0.6425281992240699,2.4172232009647585,9.76706822934342,5.0,4.22,3.53936298954767,4.253120996515889,
SH603737,2025-09-30,3.0,化学原料和化学制品制造业,26483525780.03,3.9642689809,1678462212.44,285.8835592202,1091629313.8400002,433.1985858238,2.3600000000000003,0.5712675388855151,0.1190919347845547,0.311342179224773,0.063377596562526,0.3678249046778716,0.7457024583570084,0.6655340336310356,1.5191182509641217,1.879085690273264,24.879297665928004,7.926812092158716,3.0,3.29,2.9002372239042096,3.0634124079680696,3.0
SH603859,2025-09-30,,软件和信息技术服务业,3199558020.81,-11.1703854703,638654775.26,33.3010308536,402101562.21,-5.318704151799999,1.81,0.1486970365095056,0.1384844306232684,0.510995283447335,0.1996071867133443,0.1095168768266395,1.9770926061750305,1.7918610323598938,0.1609500004230349,0.6937847925392878,6.091178040476816,2.0711302109697267,1.0,2.24,3.1847324704603857,2.141577490153462,
SH603895,2025-09-30,3.0,专用设备制造业,1153554910.04,-76.4810567807,8575826.229999999,-5231.5735153529,4143185.409999999,-115.21968423400004,0.0799999999999999,0.0530986887739097,0.0074601083250206,0.2003243677338143,0.0074342592236919,0.1642237452842369,0.972676310018846,0.5121974758673821,1.7719457163732266,1.00347702448232,1.9915743933255297,6.193634395609082,3.0,2.59,2.8999699800414294,2.829989993347143,3.0
SH603926,2025-09-30,1.0,汽车制造业,5261413460.95,7.3443317709,218065992.42,-30.864453643399997,196944133.9,-22.3609016275,1.0,0.1345840045361673,0.0709794706204499,0.1696335162792638,0.0414462756136686,0.1967813017160871,1.598624351784897,1.2358840754102804,0.3460725256654747,1.7125657147596989,10.517146591756164,14.045154385815325,1.0,1.2,2.2694000987978087,1.489800032932603,1.0
SH603993,2025-09-30,2.0,有色金属矿采选业,441018249705.5,3.4558098989,40263932841.39,536.5219683664,35740648374.83,743.8554068623,1.65,0.46983998434758,0.2272056647759874,0.2030602091803032,0.0912976568844422,0.1337803679417532,1.6422506141440254,1.0368048101675618,0.2601246104634535,2.4886253659671405,11.0865891764372,667.1890036595514,2.0,2.81,2.442821954598723,2.4176073181995745,2.0
SH605080,2025-09-30,,纺织业,2650669061.3599997,65.8367712575,590029368.42,212.5976560671,509838957.67,67.9438646381,4.18,0.2772159929299745,0.2446101021333998,0.3532737908856669,0.2225963916133947,0.0080657315692426,5.303116799664413,4.35453697349312,0.0090423751330956,1.0988951813659158,6.5901559532312355,15.506716419121442,4.0,3.86,3.3597388909772192,3.739912963659073,
SH605488,2025-09-30,,橡胶和塑料制品业,5809609120.5,55.59333367159999,217326348.88,10.4773191663,191764303.96,10.159883758499996,0.87,0.1480432250789052,0.0603353295334987,0.1458554438886367,0.0374080844979973,0.4005931011584184,1.034260192139242,0.8433881869190759,0.90996679218092,1.6128954567756275,17.957989452081545,10.553303630646528,1.0,2.09,2.8285587458486687,1.9728529152828898,
