symbol,total_dividend_yield_1Y,total_dividend_yield_3Y,total_dividend_yield_5Y,total_dividend_1Y,total_dividend_3Y,total_dividend_5Y
SH600578,0.024948024948,0.090474071935,0.132579335093,1.2,3.45,4.65
SH600580,0.006412997007,0.025936193083999998,0.047516975726,1.5,4.0,7.0
SH600582,0.050477707006,0.125594747026,0.192826576177,3.17,7.97,11.27
SH600583,0.037084870849,0.077669036461,0.110326022073,2.01,4.4799999999999995,5.9799999999999995
SH600584,0.004456475738,0.013530657597,0.022882747584999998,1.5,4.5,7.0
SH600585,0.042347026611,0.137767486828,0.24694816684299997,9.5,33.9,78.9
SH600586,0.003205128205,0.022564496141,0.063999839386,0.15,1.45,4.56
SH600587,0.031609510791,0.057037456862,0.069923973645,5.0,11.5,14.0
SH600588,,0.002908385846,0.014634443791,,0.6,3.6
SH600592,0.003493744301,0.017542416867,0.044911674724000004,0.8500000000000001,2.12,4.47
SH600594,,0.021086261981,0.04304572144,,0.66,1.96
SH600596,0.01239157373,0.08772607782,0.124303069044,1.0,9.5,17.0
SH600597,0.018038331454,0.052529565183,0.07633812763,1.6,4.6,7.800000000000001
SH600598,0.036593479707,0.100252067148,0.150638712466,5.5,14.100000000000001,22.1
SH600600,0.03073913651,0.071839645158,0.09186082837,22.0,55.0,73.5
SH600602,0.001956521739,0.008694425133,0.026605348945,0.45,1.28,2.4
SH600603,,,0.064239828694,,,3.0
SH600604,0.001937984496,0.0029280835060000003,0.00640304727,0.1,0.15000000000000002,0.34
SH600605,0.00404040404,0.03358134584,0.053342102576,1.4,8.4,10.3
SH600606,,,0.046040515654,,,2.5
SH600611,0.008180649309,0.022452816213,0.03125784766,0.5,1.3,1.58
SH600612,0.040583968306,0.095722548455,0.160669500875,20.5,54.6,81.6
SH600613,0.022421524664,0.055569245348,0.072263736166,1.5,3.5,4.5
SH600615,0.0,0.000888099467,0.000888099467,0.0,0.1,0.1
SH600616,0.008802816901,0.022739306067000004,0.030485867492000003,0.5,1.3,1.9
SH600617,,0.039402173913,0.043657493062,,1.45,1.65
SH600618,0.019337016575,0.08006618631199999,0.11697188457999999,2.1,7.7,12.25
SH600619,0.001213818861,0.004807270934,0.04336648036,0.13,0.33,3.33
SH600620,0.002300613497,0.006971149418,0.017897089366999998,0.15,0.55,1.6
SH600621,0.007345018989,0.026745950692,0.047768954453,1.17,3.56,6.369999999999999
SH600622,,,0.020054200542,,,0.74
SH600623,0.022471910112,0.073982118229,0.130672299499,1.8,5.0,9.8
SH600626,,,0.002624671916,,,0.1
SH600628,0.005398110661,0.014301510707999999,0.028937832048,0.4,1.0,2.1
SH600629,0.014593301435,0.046827837930000005,0.071496915966,1.22,2.82,4.59
SH600630,0.004293785311,0.005828312165,0.005828312165,0.38,0.5,0.5
SH600633,0.016977993035,0.047242783236,0.069290762646,2.4000000000000004,5.4,7.0
SH600635,0.008737864078,0.027758000028,0.059226248282,0.36,1.01,2.06
SH600636,0.006096126096,0.018303414192,0.034621912043000004,0.5,1.9,3.4
SH600637,0.029873164219,0.07680641637300001,0.148319566068,2.3,5.45,10.850000000000001
SH600638,0.006335616438,0.018662096189,0.050175291023,0.37,0.91,2.61
SH600639,0.029824399261,0.12595742713,0.186035422167,3.227,13.927,21.927
SH600640,0.000698757764,0.000905156113,0.0012330249650000001,0.09,0.11,0.15
SH600641,0.003184830633,0.016149835973,0.028039463899,0.4325,2.3025,4.5725
SH600642,0.049504950495,0.118953899375,0.196644952284,4.5,10.1,14.9
SH600643,,0.022960118045000002,0.09456952616200001,,1.1,5.9
SH600648,0.0311942959,0.10606587810899999,0.176373603862,3.5,10.899999999999999,21.153999999999996
SH600649,0.008791208791,0.049720738498,0.0982430267,0.4,2.1,4.12
SH600650,0.006686930091,0.041458217493,0.063147840604,1.1,4.83,6.87
SH600655,0.032871972318,0.115615712596,0.176681839452,1.9,7.3,14.1
SH600657,,0.009302325581,0.020448822396000002,,0.4,1.1
SH600658,,0.009706959707,0.046805551905,,0.53,2.08
SH600660,0.043714334975,0.10571246703500001,0.145457083725,27.0,52.5,70.0
SH600662,0.041095890411,0.092075252781,0.12464854268299999,2.4,4.9,6.9
SH600663,0.009241232731,0.033903319382,0.128195938998,0.8696,3.3596,13.6896
SH600665,,0.023379174853,0.10995378591800001,,1.19,4.02
SH600667,0.015151515152,0.033508158509000005,0.075125838396,0.95,2.0,5.4
SH600668,0.006662225183,0.032458516551,0.099181202821,1.0,3.5,12.5
SH600673,,0.041635687732,0.066705325615,,3.36,6.0600000000000005
SH600674,0.024752475248,0.07202660974899999,0.131659948463,4.0,12.0,19.8
SH600675,,0.011229028321,0.077485718065,,0.30000000000000004,2.21
SH600679,,0.002327837051,0.011083764717,,0.24,1.25
SH600681,0.064329428605,0.19518986726600002,0.367651194308,2.35,7.55,16.65
SH600682,0.00251177394,0.011093806966,0.016317385069,0.16,0.66,1.16
SH600683,,,0.084670147129,,,3.8
SH600685,0.005560441773,0.006787090003999999,0.023294157379,1.5,1.83,4.87
SH600686,0.006977418731,0.011330652562,0.012049043367,0.8999999999999999,1.25,1.2999999999999998
SH600688,0.006756756757,0.006756756757,0.066716843028,0.2,0.2,2.2
SH600689,0.001221498371,0.001221498371,0.001221498371,0.15,0.15,0.15
SH600690,0.045192751676,0.10199674427800001,0.13492255877,12.3424,26.0247,34.2983
SH600693,0.013387035121999999,0.052730211958,0.052730211958,0.8,2.2,2.2
SH600694,0.042034468264,0.118735799755,0.24328442349399998,10.0,25.0,51.0
SH600697,0.00814995925,0.050776307514,0.110044965205,1.0,6.1,14.1
SH600699,0.014046461372,0.037278145142,0.045820286372,2.6,6.2,7.7
SH600702,0.007962962963,0.045224117144,0.050701846604,4.3,40.8,51.3
SH600703,0.001610305958,0.006804677129,0.016354515967,0.2,1.0,3.5
SH600704,0.036206896552,0.114115255798,0.171018520248,2.1,5.7,9.3
SH600708,,0.007546460414,0.021900608105,,0.15000000000000002,0.5
SH600710,0.038002059732,0.117802705922,0.197941235306,3.69,9.99,15.149999999999999
SH600711,0.017006802721,0.023596546311,0.029648215737,1.0,1.2570000000000001,1.737
SH600713,0.032629558541,0.093890718176,0.139947701638,1.7,4.7,7.0
SH600714,0.005700283294,0.016581676112,0.027984184664,0.7,1.7,2.7
SH600716,,,0.007672634271,,,0.3
SH600717,0.022608695652,0.063665277638,0.106525442757,1.04,2.83,4.7
SH600718,0.01582278481,0.031773705055000004,0.037228250510000005,1.5,2.8,3.4
SH600719,,,0.002359882006,,,0.08
SH600720,0.028132678133,0.066523482731,0.151965840829,2.29,5.964,17.264
SH600724,0.030172413793,0.105427659997,0.211216448541,1.4,4.4,9.1
SH600727,0.006337135615,0.021627655493,0.070039561321,0.5,1.5,5.5
